Round,Pick,Team,Player,Position,Club,Picked At (UTC)
16,91,Pizzaking's Club,Marcus Rashford,LW,Man Utd,2026-08-05 03:07:55
16,92,ChelsZ FC,Marco Palestra,RB,Chelsea,2026-08-05 03:09:04
16,93,Tea FC,Malo Gusto,RWB,Chelsea,2026-08-05 03:12:00
16,94,Not Too Xabi,Bart Verbruggen,GK,Brighton,2026-08-05 03:13:13
16,95,Hayden FC,Rayan Aït-Nouri,LWB,Man City,2026-08-05 03:16:03
16,96,tottenyang FC,Michael Kayode,RB,Brentford,2026-08-05 03:17:17
17,97,tottenyang FC,Viktor Gyökeres,ST,Arsenal,2026-08-05 03:17:39
17,98,Hayden FC,Jeremie Frimpong,RWB,Liverpool,2026-08-05 03:20:00
17,99,Not Too Xabi,Carlos Baleba,DM,Brighton,2026-08-05 03:20:22
17,100,Tea FC,João Gomes,DM,Aston Villa,2026-08-05 03:23:00
17,101,ChelsZ FC,Hayden Hackney,CM,Everton,2026-08-05 03:23:08
17,102,Pizzaking's Club,Djed Spence,LB,Spurs,2026-08-05 03:23:16
18,103,Pizzaking's Club,Sandro Tonali,DM,Spurs,2026-08-05 03:23:17
18,104,ChelsZ FC,Kim Ji-soo,CB,Brentford,2026-08-05 03:25:47
18,105,Tea FC,Ezri Konsa,CB,Aston Villa,2026-08-05 03:28:06
18,106,Not Too Xabi,Harry Wilson,RW,Leeds,2026-08-05 03:28:22
18,107,Hayden FC,Amad Diallo,RW,Man Utd,2026-08-05 03:29:00
18,108,tottenyang FC,James Maddison,CM,Spurs,2026-08-05 03:30:46
19,109,tottenyang FC,Piero Hincapié,LB,Arsenal,2026-08-05 03:32:10
19,110,Hayden FC,Amadou Onana,DM,Aston Villa,2026-08-05 03:33:00
19,111,Not Too Xabi,Kai Havertz,ST,Arsenal,2026-08-05 03:34:25
19,112,Tea FC,Max Dowman,AM,Arsenal,2026-08-05 03:37:00
19,113,ChelsZ FC,Omar Marmoush,LW,Man City,2026-08-05 03:37:24
19,114,Pizzaking's Club,Christos Tzolis,LW,Arsenal,2026-08-05 03:37:30
20,115,Pizzaking's Club,Benjamin White,RB,Arsenal,2026-08-05 03:37:31
20,116,ChelsZ FC,Geovany Quenda,RW,Chelsea,2026-08-05 03:37:53
20,117,Tea FC,Caoimhín Kelleher,GK,Brentford,2026-08-05 03:40:00
20,118,Not Too Xabi,James Trafford,GK,Leeds,2026-08-05 03:40:59
20,119,Hayden FC,Martin Ødegaard,CM,Arsenal,2026-08-05 03:41:00
20,120,tottenyang FC,Sávio Moreira de Oliveira,RW,Man City,2026-08-05 03:41:19
